Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,cluster_label
55,0.22,3,6,3,59.3,62.0,404,3.91,3.88,2.31,2
56,0.3,4,1,1,61.0,59.0,405,4.3,4.33,2.63,2
57,0.3,3,0,1,59.3,61.0,405,4.43,4.38,2.61,2
58,0.3,2,1,2,62.6,57.0,405,4.25,4.28,2.67,2
59,0.3,2,1,2,63.0,57.0,405,4.28,4.32,2.71,2
60,0.3,1,1,2,63.2,55.0,405,4.25,4.29,2.7,2
61,0.35,4,1,4,60.9,57.0,552,4.54,4.59,2.78,2
62,0.3,3,6,2,62.6,59.0,552,4.23,4.27,2.66,2
63,0.3,4,6,2,62.5,57.0,552,4.29,4.32,2.69,2
64,0.3,4,6,2,62.1,56.0,552,4.3,4.33,2.68,2
65,0.42,3,1,1,61.5,59.0,552,4.78,4.84,2.96,2
66,0.28,4,3,5,61.4,56.0,553,4.19,4.22,2.58,2
67,0.32,4,1,6,62.0,55.3,553,4.39,4.42,2.73,2
68,0.31,2,3,2,63.3,57.0,553,4.33,4.3,2.73,2
69,0.31,3,3,2,61.8,58.0,553,4.35,4.32,2.68,2
70,0.24,3,5,6,60.7,58.0,553,4.01,4.03,2.44,2
71,0.24,2,6,6,61.5,60.0,553,3.97,4.0,2.45,2
72,0.3,2,2,2,63.1,56.0,554,4.29,4.27,2.7,2
73,0.3,3,2,2,62.9,59.0,554,4.28,4.24,2.68,2
74,0.3,3,2,2,62.5,57.0,554,4.29,4.25,2.67,2
75,0.3,1,2,2,63.7,57.0,554,4.28,4.26,2.72,2
76,0.26,2,4,5,59.2,60.0,554,4.19,4.22,2.49,2
77,0.26,2,5,5,59.9,58.0,554,4.15,4.23,2.51,2
78,0.26,2,6,5,62.4,54.0,554,4.08,4.13,2.56,2
79,0.26,2,6,5,62.8,60.0,554,4.01,4.05,2.53,2
80,0.26,2,5,6,62.6,59.0,554,4.06,4.09,2.55,2
81,0.26,2,5,6,63.4,59.0,554,4.0,4.04,2.55,2
82,0.26,2,6,6,62.1,60.0,554,4.03,4.12,2.53,2
83,0.26,4,5,5,62.9,58.0,554,4.02,4.06,2.54,2
84,0.38,4,1,1,61.6,56.0,554,4.65,4.67,2.87,2
85,0.26,1,5,6,57.9,60.0,554,4.22,4.25,2.45,2
86,0.24,3,3,6,62.3,59.0,554,3.95,3.92,2.45,2
87,0.24,3,2,6,61.2,58.0,554,4.01,3.96,2.44,2
88,0.24,3,2,6,60.8,59.0,554,4.02,4.0,2.44,2
89,0.24,3,2,5,60.7,58.0,554,4.07,4.04,2.46,2
90,0.32,3,1,2,62.9,58.0,554,4.35,4.33,2.73,2
91,0.7,4,5,2,62.5,57.0,2757,5.7,5.72,3.57,4
92,0.86,0,5,1,55.1,69.0,2757,6.45,6.33,3.52,4
93,0.7,4,3,3,61.6,56.0,2757,5.7,5.67,3.5,4
94,0.71,2,5,3,62.4,57.0,2759,5.68,5.73,3.56,4
95,0.78,2,3,1,63.8,56.0,2759,5.81,5.85,3.72,4
96,0.7,1,5,3,57.5,58.0,2759,5.85,5.9,3.38,4
97,0.7,1,4,4,59.4,62.0,2759,5.71,5.76,3.4,4
98,0.96,0,4,1,66.3,62.0,2759,6.27,5.95,4.07,4
99,0.73,2,5,2,61.6,59.0,2760,5.77,5.78,3.56,4
100,0.8,3,2,2,61.5,58.0,2760,5.97,5.93,3.66,4
101,0.75,2,6,2,63.2,56.0,2760,5.8,5.75,3.65,4
102,0.75,3,5,2,59.9,54.0,2760,6.0,5.96,3.58,4
103,0.74,4,3,2,61.6,55.0,2760,5.8,5.85,3.59,4
104,0.75,3,3,3,61.7,58.0,2760,5.85,5.79,3.59,4
105,0.8,4,1,4,62.9,56.0,2760,5.94,5.87,3.72,4
106,0.75,4,3,2,62.2,55.0,2760,5.87,5.8,3.63,4
107,0.8,3,3,2,63.0,59.0,2760,5.9,5.81,3.69,4
108,0.74,4,1,5,62.3,55.0,2761,5.77,5.81,3.61,4
109,0.81,4,4,1,58.8,57.0,2761,6.14,6.11,3.6,4
110,0.59,4,5,5,62.0,55.0,2761,5.38,5.43,3.35,4
111,0.8,4,4,1,61.4,57.0,2761,5.96,6.0,3.67,4
112,0.74,4,5,1,62.2,56.0,2761,5.8,5.84,3.62,4
113,0.9,3,1,3,63.0,58.0,2761,6.16,6.12,3.87,4
114,0.74,2,3,2,62.2,59.0,2762,5.73,5.82,3.59,4
115,0.73,4,4,3,62.6,56.0,2762,5.77,5.74,3.6,4
116,0.73,4,4,3,62.7,53.0,2762,5.8,5.75,3.62,4
117,0.8,3,4,1,61.7,58.0,2762,5.98,5.94,3.68,4
118,0.71,4,3,3,62.4,54.0,2762,5.72,5.76,3.58,4
119,0.7,4,5,3,60.7,58.0,2762,5.73,5.76,3.49,4
120,0.8,4,4,1,59.9,59.0,2762,6.01,6.07,3.62,4
121,0.71,4,6,1,62.3,56.0,2762,5.73,5.69,3.56,4
122,0.74,4,5,2,62.3,54.0,2762,5.8,5.83,3.62,4
123,0.7,2,4,3,61.7,63.0,2762,5.64,5.61,3.47,4
124,0.7,0,4,3,64.5,57.0,2762,5.57,5.53,3.58,4
125,0.7,0,4,3,65.3,55.0,2762,5.63,5.58,3.66,4
126,0.7,3,4,3,61.6,60.0,2762,5.65,5.59,3.46,4
127,0.91,3,2,2,61.4,56.0,2763,6.09,5.97,3.7,4
128,0.61,2,6,5,59.6,57.0,2763,5.56,5.58,3.32,4
129,0.91,0,2,1,64.4,57.0,2763,6.11,6.09,3.93,4
130,0.91,0,2,1,65.7,60.0,2763,6.03,5.99,3.95,4
131,0.77,4,2,3,62.0,56.0,2763,5.89,5.86,3.64,4
132,0.71,2,6,2,63.6,58.0,2764,5.64,5.68,3.6,4
133,0.71,4,6,2,61.9,59.0,2764,5.69,5.72,3.53,4
134,0.7,2,5,3,62.6,60.0,2765,5.62,5.65,3.53,4
135,0.77,2,2,4,61.3,60.0,2765,5.88,5.9,3.61,4
136,0.63,3,5,6,60.9,60.0,2765,5.52,5.55,3.37,4
137,0.71,2,4,4,60.1,62.0,2765,5.74,5.77,3.46,4
138,0.71,3,4,4,61.8,59.0,2765,5.69,5.73,3.53,4
139,0.76,4,2,2,61.2,57.0,2765,5.88,5.91,3.61,4
140,0.64,4,3,6,61.9,56.0,2766,5.53,5.56,3.43,4
141,0.71,3,3,3,60.9,57.0,2766,5.78,5.75,3.51,4
142,0.71,3,3,3,59.8,56.0,2766,5.89,5.81,3.5,4
143,0.7,2,6,3,61.8,55.0,2767,5.68,5.72,3.52,4
144,0.7,2,4,4,60.0,57.0,2767,5.8,5.87,3.5,4
145,0.71,4,6,1,61.6,55.0,2767,5.74,5.76,3.54,4
146,0.7,1,2,5,62.1,64.0,2767,5.62,5.65,3.5,4
147,0.71,2,3,4,63.3,59.0,2768,5.52,5.61,3.52,4
148,0.73,2,6,2,60.2,56.0,2768,5.83,5.87,3.52,4
149,0.7,2,6,2,61.1,58.0,2768,5.66,5.73,3.48,4
150,0.7,4,5,2,60.9,57.0,2768,5.73,5.76,3.5,4
151,0.71,3,6,1,61.7,59.0,2768,5.71,5.67,3.51,4
152,0.74,4,1,2,61.3,56.0,2769,5.82,5.86,3.57,4
153,0.71,3,6,3,62.5,60.0,2770,5.65,5.61,3.52,4
154,0.73,3,3,3,61.4,59.0,2770,5.83,5.76,3.56,4
155,0.76,2,4,2,62.9,57.0,2770,5.79,5.81,3.65,4
156,0.76,4,6,1,62.4,57.0,2770,5.78,5.83,3.62,4
157,0.71,4,4,2,60.7,56.0,2770,5.77,5.8,3.51,4
158,0.73,3,3,3,60.7,58.0,2770,5.87,5.82,3.55,4
159,0.73,3,3,4,61.5,58.0,2770,5.79,5.75,3.55,4
160,0.73,4,6,1,59.9,57.0,2770,5.92,5.89,3.54,4
161,0.73,3,3,3,59.2,59.0,2770,5.92,5.87,3.49,4
162,0.72,2,2,5,60.3,56.0,2771,5.81,5.83,3.51,4
163,0.73,2,4,2,61.7,60.0,2771,5.79,5.82,3.58,4
164,0.71,4,3,3,61.9,57.0,2771,5.73,5.77,3.56,4
165,0.79,4,4,1,61.9,55.0,2771,5.97,5.92,3.68,4
166,0.73,2,2,6,60.4,59.0,2772,5.83,5.89,3.54,4
167,0.8,2,4,1,61.0,57.0,2772,6.01,6.03,3.67,4
168,0.58,4,3,6,61.5,55.0,2772,5.39,5.44,3.33,4
169,0.58,4,4,6,61.7,56.0,2772,5.33,5.37,3.3,4
170,0.71,1,5,3,59.2,61.0,2772,5.8,5.88,3.46,4
171,0.75,4,6,1,61.3,56.0,2773,5.85,5.89,3.6,4
172,0.7,3,6,3,58.0,62.0,2773,5.87,5.78,3.38,4
173,1.17,2,0,0,60.2,61.0,2774,6.83,6.9,4.13,4
174,0.6,4,5,4,61.7,55.0,2774,5.41,5.44,3.35,4
175,0.7,4,5,2,62.7,55.0,2774,5.68,5.74,3.58,4
176,0.83,1,1,3,64.6,54.0,2774,5.85,5.88,3.79,4
177,0.74,2,4,3,61.3,61.0,2775,5.8,5.84,3.57,4
178,0.72,2,3,3,63.7,56.4,2776,5.62,5.69,3.61,4
179,0.71,3,5,3,62.7,58.0,2776,5.74,5.68,3.58,4
180,0.71,4,5,3,62.2,57.0,2776,5.79,5.62,3.55,4
181,0.54,4,5,5,61.6,56.0,2776,5.25,5.27,3.24,4
182,0.54,4,5,5,61.5,57.0,2776,5.24,5.26,3.23,4
183,0.72,4,3,2,61.8,56.0,2776,5.72,5.75,3.55,4
184,0.72,4,3,2,60.7,56.0,2776,5.79,5.82,3.53,4
185,0.72,1,3,3,59.7,60.5,2776,5.8,5.84,3.47,4
186,0.71,4,3,2,60.5,56.0,2776,5.8,5.76,3.5,4
187,0.7,2,6,4,62.7,58.0,2777,5.66,5.73,3.57,4
188,0.71,3,4,3,62.1,58.0,2777,5.67,5.7,3.53,4
189,0.71,2,4,3,62.8,57.0,2777,5.64,5.69,3.56,4
190,0.71,1,4,3,63.8,58.0,2777,5.61,5.64,3.59,4
191,0.71,1,4,3,57.8,60.0,2777,5.87,5.9,3.4,4
192,0.7,4,5,3,62.1,55.0,2777,5.7,5.67,3.53,4
193,0.7,3,5,3,61.1,60.0,2777,5.71,5.64,3.47,4
194,0.7,3,5,2,60.0,59.0,2777,5.79,5.75,3.46,4
195,0.7,3,5,2,61.2,57.0,2777,5.73,5.68,3.49,4
196,0.7,3,5,2,62.7,59.0,2777,5.67,5.63,3.54,4
197,0.7,3,5,2,61.0,57.0,2777,5.73,5.68,3.48,4
198,0.7,3,5,2,61.0,58.0,2777,5.78,5.72,3.51,4
199,0.7,4,5,2,61.4,57.0,2777,5.76,5.7,3.52,4
200,0.72,3,4,2,61.8,61.0,2777,5.82,5.71,3.56,4
201,0.7,2,5,2,59.9,63.0,2777,5.76,5.7,3.43,4
202,0.7,3,5,2,61.3,58.0,2777,5.71,5.68,3.49,4
203,0.7,3,5,2,60.5,58.0,2777,5.77,5.74,3.48,4
204,0.7,1,5,3,64.1,59.0,2777,5.64,5.59,3.6,4
205,0.98,0,2,1,67.9,60.0,2777,6.05,5.97,4.08,4
206,0.78,3,4,2,62.4,58.0,2777,5.83,5.8,3.63,4
207,0.7,2,5,2,63.2,60.0,2777,5.6,5.51,3.51,4
208,0.52,4,4,6,61.3,55.0,2778,5.19,5.22,3.19,4
209,0.73,2,2,3,60.8,56.0,2779,5.82,5.84,3.55,4
210,0.74,4,5,2,61.7,56.0,2779,5.84,5.8,3.59,4
211,0.7,2,4,3,63.6,57.0,2780,5.61,5.65,3.58,4
212,0.77,3,3,3,61.2,58.0,2780,5.9,5.93,3.62,4
213,0.71,4,4,3,62.1,54.0,2780,5.68,5.72,3.54,4
214,0.74,4,3,4,61.5,55.0,2780,5.81,5.86,3.59,4
215,0.7,4,3,4,61.4,59.0,2780,5.64,5.73,3.49,4
216,1.01,3,4,0,61.8,60.0,2781,6.39,6.36,3.94,4
217,0.77,4,2,2,62.2,56.0,2781,5.83,5.88,3.64,4
218,0.78,4,2,2,61.2,56.0,2781,5.92,5.99,3.64,4
219,0.72,2,2,4,60.6,63.0,2782,5.83,5.76,3.51,4
220,0.53,2,6,5,57.5,64.0,2782,5.34,5.37,3.08,4
221,0.76,4,3,3,61.3,56.0,2782,5.9,5.94,3.63,4
222,0.7,1,5,4,57.2,62.0,2782,5.81,5.77,3.31,4
223,0.7,3,5,4,62.9,60.0,2782,5.62,5.54,3.51,4
224,0.75,2,6,1,63.1,58.0,2782,5.78,5.73,3.63,4
225,0.72,4,6,2,60.8,57.0,2782,5.76,5.75,3.5,4
226,0.72,3,6,2,62.7,59.0,2782,5.73,5.69,3.58,4
227,0.7,3,6,2,62.8,60.0,2782,5.68,5.66,3.56,4
228,0.84,0,3,2,55.1,67.0,2782,6.39,6.2,3.47,4
229,0.75,3,4,2,61.4,59.0,2782,5.88,5.85,3.6,4
230,0.52,4,4,7,62.2,55.0,2783,5.14,5.18,3.21,4
231,0.72,2,4,3,63.0,54.0,2784,5.69,5.73,3.6,4
232,0.79,2,2,4,63.7,56.0,2784,5.85,5.92,3.75,4
233,0.72,2,4,3,63.6,58.0,2787,5.66,5.69,3.61,4
234,0.51,4,4,6,62.0,57.0,2787,5.11,5.15,3.18,4
235,0.64,4,6,4,61.5,56.0,2787,5.54,5.55,3.41,4
236,0.7,2,2,6,60.5,60.0,2788,5.74,5.77,3.48,4
237,0.83,2,1,4,61.1,60.0,2788,6.07,6.1,3.72,4
238,0.76,4,1,5,61.8,56.0,2788,5.85,5.87,3.62,4
239,0.71,1,6,3,63.3,56.0,2788,5.64,5.68,3.58,4
240,0.77,1,3,4,59.4,64.0,2788,5.97,5.92,3.53,4
241,0.71,4,4,2,62.5,55.0,2788,5.71,5.65,3.55,4
242,1.01,0,5,0,64.5,58.0,2788,6.29,6.21,4.03,4
243,1.01,3,2,1,62.7,59.0,2788,6.31,6.22,3.93,4
244,0.77,1,4,2,64.2,52.0,2789,5.81,5.77,3.72,4
245,0.76,1,5,2,63.7,54.0,2789,5.76,5.85,3.7,4
246,0.76,3,5,2,60.4,58.0,2789,5.92,5.94,3.58,4
247,0.76,3,5,2,61.8,58.0,2789,5.82,5.86,3.61,4
248,1.05,2,0,1,63.2,56.0,2789,6.49,6.45,4.09,4
249,0.81,4,3,1,61.6,56.0,2789,5.97,6.01,3.69,4
250,0.7,4,5,2,61.6,56.0,2789,5.72,5.75,3.53,4
251,0.55,4,3,7,60.9,57.0,2789,5.28,5.3,3.22,4
252,0.81,1,3,1,61.0,61.0,2789,5.94,5.99,3.64,4
253,0.63,3,5,5,62.1,57.0,2789,5.48,5.41,3.38,4
254,0.63,3,5,6,60.9,60.0,2789,5.55,5.52,3.37,4
255,0.77,3,2,4,61.3,60.0,2789,5.9,5.88,3.61,4
256,1.05,0,0,1,65.8,59.0,2789,6.41,6.27,4.18,4
257,0.64,4,3,7,61.3,56.0,2790,5.54,5.58,3.41,4
258,0.76,3,1,6,58.8,59.0,2790,6.0,5.94,3.51,4
259,0.83,4,4,1,62.3,55.0,2790,6.02,6.05,3.76,4
260,0.71,3,4,4,60.1,62.0,2790,5.77,5.74,3.46,4
261,0.71,3,4,4,61.8,59.0,2790,5.73,5.69,3.53,4
262,0.87,2,1,2,63.6,55.8,2791,6.07,6.1,3.87,4
263,0.73,4,5,2,62.2,56.0,2791,5.74,5.78,3.58,4
264,0.71,3,5,2,59.2,59.0,2792,5.83,5.86,3.46,4
265,0.71,3,5,2,61.8,59.0,2792,5.7,5.75,3.54,4
266,0.71,4,5,2,61.3,55.0,2792,5.72,5.77,3.52,4
267,0.7,3,4,4,62.1,60.0,2792,5.71,5.65,3.53,4
268,0.7,3,4,4,60.7,60.0,2792,5.78,5.75,3.5,4
269,0.76,3,2,5,59.6,57.0,2792,5.91,5.86,3.51,4
270,0.7,4,4,4,62.2,56.0,2792,5.73,5.68,3.55,4
271,0.79,2,3,2,60.6,57.0,2793,5.98,6.06,3.65,4
272,0.7,2,5,3,62.9,57.0,2793,5.66,5.69,3.57,4
273,0.7,1,5,3,64.1,55.0,2793,5.6,5.66,3.61,4
274,0.76,4,1,3,61.3,56.0,2793,5.87,5.91,3.61,4
275,0.73,4,2,3,62.7,55.0,2793,5.72,5.76,3.6,4
276,0.79,2,5,2,63.2,56.0,2794,5.91,5.86,3.72,4
277,0.71,2,5,3,60.7,56.0,2795,5.81,5.82,3.53,4
278,0.81,3,1,5,61.9,60.0,2795,5.91,5.86,3.64,4
279,0.81,4,4,1,62.6,55.0,2795,5.92,5.96,3.72,4
280,0.72,1,4,4,60.7,60.0,2795,5.74,5.72,3.48,4
281,0.72,3,6,1,62.0,60.0,2795,5.73,5.69,3.54,4
282,0.72,3,1,7,63.0,57.0,2795,5.72,5.7,3.6,4
283,0.81,3,2,3,58.0,59.0,2795,6.17,6.13,3.57,4
284,0.72,3,3,3,62.9,57.0,2795,5.73,5.65,3.58,4
285,1.0,3,1,1,58.2,60.0,2795,6.61,6.55,3.83,4
286,0.73,1,5,2,63.2,58.0,2796,5.7,5.76,3.62,4
287,0.81,2,2,1,61.3,59.0,2797,5.94,6.01,3.66,4
288,0.81,2,5,2,60.3,60.0,2797,6.07,6.1,3.67,4
289,0.71,3,6,2,62.7,60.0,2797,5.67,5.71,3.57,4
290,0.71,3,6,2,61.3,58.0,2797,5.73,5.75,3.52,4
291,0.71,3,6,2,61.6,60.0,2797,5.74,5.69,3.52,4
292,0.57,4,4,5,61.9,55.0,2797,5.34,5.35,3.31,4
293,0.51,4,6,6,61.7,56.0,2797,5.12,5.16,3.17,4
294,0.72,4,3,3,61.9,58.0,2797,5.72,5.75,3.55,4
295,0.74,4,2,4,61.8,58.0,2797,5.77,5.81,3.58,4
296,0.74,4,2,4,61.6,56.0,2797,5.81,5.82,3.58,4
297,0.7,0,3,6,58.8,66.0,2797,5.81,5.9,3.44,4
298,0.8,3,4,1,61.0,57.0,2797,6.03,6.01,3.67,4
299,1.01,0,5,1,67.4,60.0,2797,6.19,6.05,4.13,4
300,0.8,2,2,3,63.4,60.0,2797,5.92,5.82,3.72,4
301,0.77,4,1,4,61.5,59.0,2798,5.87,5.91,3.62,4
302,0.83,2,5,1,58.0,62.0,2799,6.19,6.25,3.61,4
303,0.82,4,4,1,62.4,54.0,2799,5.97,6.02,3.74,4
304,0.78,4,6,2,61.9,57.0,2799,5.91,5.86,3.64,4
305,0.6,2,3,7,61.6,56.0,2800,5.43,5.46,3.35,4
306,0.9,1,1,1,62.2,59.0,2800,6.07,6.11,3.79,4
307,0.7,3,5,4,62.2,58.0,2800,5.6,5.66,3.5,4
308,0.9,2,1,1,61.3,56.0,2800,6.17,6.23,3.8,4
309,0.83,4,3,2,62.3,57.0,2800,5.99,6.08,3.76,4
310,0.83,4,3,2,61.8,57.0,2800,6.03,6.07,3.74,4
311,0.83,2,2,2,62.5,59.0,2800,5.95,6.02,3.74,4
312,0.74,3,3,4,62.9,60.0,2800,5.74,5.68,3.59,4
313,0.79,4,1,4,61.8,59.0,2800,5.92,5.95,3.67,4
314,0.61,4,3,7,62.3,56.0,2800,5.43,5.45,3.39,4
315,0.76,0,3,4,59.0,70.0,2800,5.89,5.8,3.46,4
316,0.96,4,4,0,60.7,55.0,2801,6.37,6.41,3.88,4
317,0.73,4,4,3,62.5,55.0,2801,5.8,5.76,3.61,4
318,0.73,3,4,3,62.7,58.0,2801,5.76,5.7,3.59,4
319,0.75,4,2,2,60.4,57.0,2801,5.93,5.96,3.59,4
320,0.71,3,4,3,62.1,58.0,2801,5.7,5.67,3.53,4
321,0.71,1,4,3,57.8,60.0,2801,5.9,5.87,3.4,4
322,0.71,1,4,3,63.8,58.0,2801,5.64,5.61,3.59,4
323,0.71,3,4,3,62.8,57.0,2801,5.69,5.64,3.56,4
324,1.04,3,3,0,62.2,58.0,2801,6.46,6.41,4.0,4
325,1.0,3,0,1,62.3,58.0,2801,6.45,6.34,3.98,4
326,0.87,2,3,1,59.9,58.0,2802,6.19,6.23,3.72,4
327,0.53,4,4,7,61.9,54.0,2802,5.22,5.25,3.24,4
328,0.72,3,5,3,63.0,55.0,2802,5.79,5.61,3.59,4
329,0.72,3,4,4,62.4,58.0,2802,5.83,5.7,3.6,4
330,0.7,2,4,3,62.9,58.0,2803,5.63,5.65,3.55,4
331,0.74,2,5,2,63.5,56.0,2803,5.74,5.79,3.66,4
332,0.71,4,3,3,61.3,56.0,2803,5.75,5.71,3.51,4
333,0.73,4,5,2,60.6,54.0,2803,5.84,5.89,3.55,4
334,0.7,1,3,4,65.1,58.0,2803,5.56,5.59,3.63,4
335,0.71,3,4,3,62.6,58.0,2803,5.7,5.67,3.56,4
336,0.71,3,4,3,58.0,62.0,2803,5.85,5.81,3.38,4
337,0.71,3,3,4,62.4,61.0,2803,5.7,5.65,3.54,4
338,0.77,3,3,3,61.3,57.0,2803,5.93,5.88,3.62,4
339,0.71,3,3,3,59.9,60.0,2803,5.81,5.77,3.47,4
340,0.78,3,3,3,60.8,58.0,2803,6.03,5.95,3.64,4
341,0.71,2,3,4,63.5,55.0,2803,5.66,5.64,3.59,4
342,0.91,4,6,1,62.2,57.0,2803,6.21,6.15,3.85,4
343,0.71,2,5,3,63.8,58.0,2804,5.62,5.66,3.6,4
344,0.71,2,5,3,64.0,57.0,2804,5.66,5.68,3.63,4
345,0.8,2,5,1,62.5,56.0,2804,5.88,5.96,3.7,4
346,0.7,2,6,2,62.3,58.0,2804,5.69,5.73,3.56,4
347,0.72,4,4,4,61.7,57.0,2804,5.74,5.77,3.55,4
348,0.72,2,4,4,62.2,58.0,2804,5.75,5.7,3.56,4
349,0.82,4,2,3,61.5,56.0,2804,6.01,6.08,3.72,4
350,0.7,4,6,2,61.0,59.0,2804,5.68,5.7,3.47,4
351,0.72,4,6,2,62.2,56.0,2804,5.74,5.77,3.58,4
352,0.72,4,6,2,61.5,54.0,2804,5.77,5.8,3.56,4
353,0.9,0,1,2,67.3,59.0,2804,5.93,5.84,3.96,4
354,0.74,3,4,3,61.7,58.0,2805,5.85,5.78,3.59,4
355,0.74,3,4,3,61.9,56.0,2805,5.8,5.77,3.58,4
356,0.73,4,5,1,61.8,58.0,2805,5.77,5.81,3.58,4
357,0.57,0,5,6,58.7,66.0,2805,5.34,5.43,3.16,4
358,0.73,3,4,3,62.5,57.0,2805,5.75,5.7,3.58,4
359,0.72,4,3,3,62.8,56.0,2805,5.74,5.7,3.59,4
360,0.74,0,4,3,61.1,68.0,2805,5.82,5.75,3.53,4
361,0.82,1,3,3,64.0,57.0,2805,5.92,5.89,3.78,4
362,0.81,2,3,2,62.5,60.0,2806,5.89,5.94,3.69,4
363,0.75,2,2,6,60.6,58.0,2806,5.85,5.9,3.56,4
364,0.7,4,4,2,61.6,55.0,2806,5.72,5.74,3.53,4
365,0.71,2,4,4,62.2,58.0,2807,5.66,5.72,3.54,4
366,0.71,2,4,4,60.0,57.0,2807,5.84,5.9,3.52,4
367,0.93,3,0,1,61.9,57.0,2807,6.21,6.19,3.84,4
368,0.8,2,2,3,62.8,57.0,2808,5.87,5.91,3.7,4
369,0.7,2,4,4,62.0,57.0,2808,5.64,5.71,3.52,4
370,1.0,0,3,0,66.4,59.0,2808,6.16,6.09,4.07,4
371,0.75,2,3,3,63.4,56.0,2808,5.78,5.74,3.65,4
372,0.58,4,5,5,60.9,56.0,2808,5.41,5.43,3.3,4
373,0.73,2,6,2,63.1,57.0,2808,5.74,5.7,3.61,4
374,0.81,2,4,2,63.1,59.0,2809,5.85,5.79,3.67,4
375,0.81,3,6,1,59.2,57.0,2809,6.15,6.05,3.61,4
376,0.71,3,4,2,60.7,54.0,2809,5.84,5.8,3.53,4
377,1.2,0,4,0,64.6,56.0,2809,6.73,6.66,4.33,4
378,0.7,2,4,4,61.8,56.0,2810,5.63,5.7,3.5,4
